spt_id,mjd,ts,ra,dec,95_flux,95_flux_err,150_flux,150_flux_err,220_flux,220_flux_err,spectral_index_95_150,spectral_index_95_150_err,spectral_index_150_220,spectral_index_150_220_err,dr3_source_id,p-value,source_ra,source_dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_err,binary,2rxs_id,2rxs_ref,2rxs_flux
SPT-SV J011339.9-593934,58576.02,614.726265,18.416603,-59.659573,100.69516,7.054931,150.479505,7.401045,126.253704,25.478654,0.879522,0.187412,-0.458321,0.54234,4909009394396454144,0.005547,18.418871,-59.659746,12.941366,14.593928,11.703972,23.336041,0.020779,True,,,
SPT-SV J023830.2-642734,58576.15,57.443492,39.625867,-64.459545,31.107799,6.742943,38.041037,6.75519,22.614488,24.644594,0.440511,0.613479,-1.357925,2.882939,4697144528904715008,0.006155,39.630969,-64.459519,13.385899,13.892765,12.703609,1.056141,0.010487,True,,,
SPT-SV J024745.4-580420,58579.23,222.107132,41.939369,-58.072404,62.812558,8.044679,111.581738,8.557942,167.466913,34.093776,1.258001,0.326831,1.060148,0.568035,4727935836644070656,0.016065,41.944062,-58.074299,11.952813,13.224936,10.831066,22.413446,0.018679,False,2RXS J024753.5-580400,Freund,0.0
SPT-SV J005655.4-515223,58590.05,62.91051,14.230919,-51.873325,44.525546,8.262064,41.783664,9.084148,49.910704,35.365457,-0.139149,0.625778,0.464056,1.935229,4928347433108236416,0.000187,14.231773,-51.875465,8.788604,9.345057,8.025312,31.829892,0.87055,True,2RXS J005655.5-515232,Freund,0.0
SPT-SV J204421.0-535059,58591.69,82.442064,311.087606,-53.849871,41.717117,7.959766,29.294136,8.461755,2.464893,30.554919,-0.773985,0.757914,-6.462895,32.375082,6471134835842209792,0.000142,311.087248,-53.850918,10.082267,10.651243,9.357035,2.764819,0.017666,True,2RXS J204420.2-535112,Freund,0.0
SPT-SV J022051.2-582338,58592.3,194.790778,35.213727,-58.394002,72.592947,7.494313,79.64605,7.588261,100.986374,26.726816,0.203006,0.307564,0.619838,0.734439,4738200056863233536,0.002942,35.214941,-58.394826,12.557485,14.075337,11.350541,22.859967,0.018809,False,2RXS J022052.6-582330,Freund,0.0
SPT-SV J002550.8-461924,58594.72,59.823886,6.461924,-46.323572,44.174723,8.754775,61.480939,9.818413,70.182545,36.369708,0.72374,0.557233,0.345627,1.415864,4979859106192681344,0.02226,6.462002,-46.326679,14.140601,15.600292,12.952633,12.078899,0.022499,False,,,
SPT-SV J225726.8-564528,58595.56,53.745787,344.36176,-56.758032,39.146352,8.071251,33.993445,8.062662,91.746758,28.180325,-0.309003,0.688047,2.592388,1.01326,6493575352770287488,0.001467,344.358736,-56.761451,10.236932,10.630301,9.670088,2.817327,0.013691,True,2RXS J225725.0-564545,Freund,0.0
SPT-SV J210121.0-493310,58645.25,526.59675,315.337872,-49.552855,111.827267,8.275831,121.617336,11.538206,110.022889,35.884988,0.183738,0.263429,-0.261601,0.886904,6478107251392112640,0.000332,315.338057,-49.552103,10.613663,11.310298,9.809847,4.379431,0.021967,True,2RXS J210121.1-493324,Freund,0.0
SPT-SV J204420.9-535102,58655.8,84.798267,311.087467,-53.850602,50.684089,7.727866,51.064361,7.741576,63.935873,27.613816,0.016365,0.470741,0.586941,1.195152,6471134835842209792,0.000127,311.087248,-53.850918,10.082267,10.651243,9.357035,2.764819,0.017666,True,2RXS J204420.2-535112,Freund,0.0
SPT-SV J213024.8-601227,58667.89,186.696429,322.603461,-60.207743,37.852582,7.106217,50.097113,6.859829,48.707067,24.649254,0.613594,0.508729,-0.073472,1.368877,6452221724017193216,5e-06,322.604521,-60.207088,7.559564,8.01054,6.929912,5.553703,0.032722,False,2RXS J213024.9-601226,Freund,0.0
SPT-SV J024146.5-525951,58705.72,387.128454,40.443906,-52.997522,105.058647,7.899201,113.469185,7.661509,173.031586,28.085127,0.168607,0.221246,1.101701,0.459007,4742040410461492096,0.00077,40.445863,-52.997951,9.750537,10.580706,8.840505,22.937051,0.04588,True,2RXS J024147.3-525944,Freund,0.0
SPT-SV J004135.6-562124,58706.43,83.844639,10.398659,-56.35689,68.550611,9.636088,65.646551,10.128922,63.900405,35.198469,-0.094771,0.456972,-0.070391,1.493595,4920330653311504256,0.294917,10.398347,-56.353839,16.448971,19.277929,14.73761,27.215935,0.707354,False,,,
SPT-SV J002515.2-613041,58716.35,349.252879,6.313512,-61.511413,60.105835,7.541097,141.393322,8.332879,273.118747,28.30534,1.872847,0.303477,1.718993,0.311292,4902014095262270336,0.00231,6.311911,-61.513653,10.689794,11.584764,9.754812,22.650933,0.01236,True,,,
SPT-SV J024147.0-525947,58719.74,96.835252,40.446113,-52.996482,47.882083,7.946516,58.499801,7.609012,148.590475,28.37324,0.438486,0.461638,2.433915,0.60325,4742040410461492096,0.000647,40.445863,-52.997951,9.750537,10.580706,8.840505,22.937051,0.04588,True,2RXS J024147.3-525944,Freund,0.0
SPT-SV J001008.3-592129,58726.21,187.574231,2.534868,-59.358182,55.434591,6.929979,48.482413,7.005254,62.571076,26.017652,-0.293378,0.418305,0.666076,1.149368,4918091463521598592,0.00039,2.536655,-59.357711,9.816174,10.323721,9.150729,2.178138,0.014453,False,2RXS J001009.2-592119,Freund,0.0
SPT-SV J030826.1-592224,58747.57,450.068192,47.108807,-59.373508,76.349717,7.520986,141.056075,7.477955,133.451423,26.339955,1.34389,0.244914,-0.144703,0.533615,4723685987981062656,0.000222,47.108692,-59.373644,9.026817,9.097452,8.857716,3.312833,0.023505,False,,,
SPT-SV J001447.7-600349,58754.31,66.394634,3.699054,-60.063799,37.14411,6.902732,47.660598,7.019384,33.805485,24.201001,0.545802,0.519138,-0.896838,1.908348,4905813212878537216,0.002357,3.699441,-60.063528,12.690224,14.284197,11.460768,23.11721,0.180968,False,2RXS J001451.6-600357,Freund,0.0
SPT-SV J212044.5-543808,58755.38,325.686543,320.185629,-54.635785,103.214783,7.98955,103.158219,8.002388,124.148902,27.403545,-0.0012,0.239926,0.483607,0.610889,6463546350186454144,0.002682,320.183645,-54.633106,10.334653,10.930648,9.583086,4.996734,0.014739,True,2RXS J212043.2-543801,Freund,0.0
SPT-SV J012311.3-692144,58761.09,54.592869,20.797317,-69.362458,32.880323,5.952777,30.404992,5.978281,6.786787,20.944746,-0.171354,0.58516,-3.91556,8.07422,4691426694779173376,0.0216,20.798151,-69.360675,16.500856,19.660521,14.960992,22.4622,0.077673,False,,,
SPT-SV J211004.5-581139,58767.67,65.095058,317.518848,-58.194425,52.822329,7.324112,36.347676,7.740675,26.262994,26.656805,-0.818384,0.556361,-0.848501,2.707877,6456528236185330816,0.057737,317.525819,-58.197173,14.019435,15.795282,12.750357,19.873631,0.018644,False,,,
SPT-SV J011721.0-570521,58778.27,121.279322,19.337857,-57.089242,63.592334,7.693237,59.434136,7.716035,82.790212,26.380772,-0.148052,0.388508,0.865399,0.898395,4910314961376339584,0.021975,19.341024,-57.089068,15.187329,17.531151,13.79733,43.225294,0.0379,False,,,
SPT-SV J022244.3-602241,58798.28,428.433334,35.684959,-60.378281,113.278771,7.196409,110.130354,8.107774,89.899061,26.540153,-0.061711,0.212893,-0.529977,0.794435,4713771622913507328,0.003205,35.685243,-60.379948,11.948663,13.549266,10.718981,35.519346,0.01978,True,2RXS J022243.9-602243,Freund,0.0
SPT-SV J231153.4-450800,58804.31,363.868815,347.972672,-45.133422,131.321612,9.04825,159.840182,11.583912,157.120705,40.613505,0.43026,0.21893,-0.044805,0.700937,6527965293348044288,0.00255,347.973965,-45.133873,12.471788,13.854474,11.308502,21.04422,0.0502,True,2RXS J231153.7-450759,Freund,0.0
SPT-SV J002551.5-461938,58808.36,52.996927,6.464647,-46.327455,37.590571,8.795739,58.242127,9.815828,2.963344,34.551354,0.958615,0.631329,-7.776373,30.446569,4979859106192681344,0.01188,6.462002,-46.326679,14.140601,15.600292,12.952633,12.078899,0.022499,False,,,
SPT-SV J210120.6-493309,58808.69,178.852874,315.335931,-49.552732,58.862296,8.419437,48.835058,9.308672,2.198238,32.720342,-0.408865,0.521749,-8.096228,38.867698,6478107251392112640,0.0005,315.338057,-49.552103,10.613663,11.310298,9.809847,4.379431,0.021967,True,2RXS J210121.1-493324,Freund,0.0
SPT-SV J232047.2-672323,58934.1,785.824874,350.19685,-67.389757,115.330914,5.99752,102.145095,5.978726,102.423047,20.718773,-0.265811,0.171416,0.007095,0.549839,6388245295629220608,0.002502,350.196885,-67.389668,12.953445,14.614818,11.704224,24.429538,0.021266,True,2RXS J232046.8-672315,Freund,0.0
SPT-SV J231352.1-681735,58940.76,224.344575,348.467168,-68.293154,65.115676,5.9432,49.150893,6.29421,63.042116,22.095911,-0.615797,0.344288,0.649903,0.974317,6387778729037646080,0.0001,348.470503,-68.291371,7.33584,7.978234,6.563251,3.194397,0.015997,True,2RXS J231351.9-681735,Freund,0.0
SPT-SV J210121.2-493314,58941.62,596.840187,315.338665,-49.553943,96.789642,7.666629,113.241526,9.623052,143.019571,37.444677,0.343689,0.254335,0.609565,0.718711,6478107251392112640,0.000822,315.338057,-49.552103,10.613663,11.310298,9.809847,4.379431,0.021967,True,2RXS J210121.1-493324,Freund,0.0
SPT-SV J235839.9-484703,58948.07,201.911757,359.666355,-48.784195,95.59006,10.097483,103.568677,10.011201,123.006699,37.449715,0.175511,0.313481,0.449105,0.834036,6524079447458513536,0.01445,359.667558,-48.781854,13.196738,14.1171,12.232153,4.58604,0.014042,False,,,
SPT-SV J012219.1-564352,58949.56,73.062766,20.579796,-56.731376,40.199629,7.488153,58.823151,7.980092,87.280899,27.084356,0.833433,0.504511,1.030298,0.884277,4910693055937045888,6.7e-05,20.579004,-56.73159,8.638605,9.039242,8.0658,8.849325,0.013391,True,2RXS J012221.2-564406,Freund,0.0
SPT-SV J213026.3-601217,58958.14,73.007361,322.60975,-60.20494,43.962236,6.997706,46.302756,7.446848,52.272257,25.835514,0.113562,0.495406,0.316623,1.357098,6452221724017193216,4.7e-05,322.604521,-60.207088,7.559564,8.01054,6.929912,5.553703,0.032722,False,2RXS J213024.9-601226,Freund,0.0
SPT-SV J204421.3-535105,58961.91,1204.614226,311.089145,-53.851429,150.393449,7.608893,209.684435,7.481787,177.521073,27.377023,0.727625,0.135542,-0.434772,0.413304,6471134835842209792,0.00021,311.087248,-53.850918,10.082267,10.651243,9.357035,2.764819,0.017666,True,2RXS J204420.2-535112,Freund,0.0
SPT-SV J204420.3-535112,58966.06,48.178085,311.084824,-53.853553,37.04674,7.897034,35.691535,8.771831,12.97378,33.699964,-0.08159,0.712262,-2.642307,6.812526,6471134835842209792,0.000285,311.087248,-53.850918,10.082267,10.651243,9.357035,2.764819,0.017666,True,2RXS J204420.2-535112,Freund,0.0
SPT-SV J023859.9-581110,58982.09,73.296518,39.749883,-58.186122,42.004771,6.859248,46.632161,7.009044,19.6332,25.309825,0.228802,0.485903,-2.25871,3.388754,4726387007013852672,0.000265,39.754735,-58.187066,8.950688,9.735241,7.820233,59.37,1.22,True,2RXS J023901.2-581112,DR3/2RXS Proximity,
SPT-SV J233653.0-574257,58997.58,113.028249,354.221222,-57.716084,45.106853,8.213981,74.569747,9.098415,128.552022,31.574635,1.100583,0.479898,1.421958,0.716081,6495448989302214784,0.002362,354.219594,-57.713803,11.303312,11.881244,10.566803,3.468245,0.01697,True,,,
SPT-SV J212043.7-543755,59003.11,156.156242,320.182369,-54.631967,87.777455,8.321534,124.119089,15.786528,149.575336,54.524629,0.758468,0.347302,0.487108,1.008065,6463546350186454144,0.000402,320.183645,-54.633106,10.334653,10.930648,9.583086,4.996734,0.014739,True,2RXS J212043.2-543801,Freund,0.0
SPT-SV J212043.7-543755,59005.5,133.410907,320.182428,-54.63211,51.025496,7.519878,46.619628,8.008337,29.904273,26.873286,-0.197706,0.495526,-1.159345,2.38886,6463546350186454144,0.000365,320.183645,-54.633106,10.334653,10.930648,9.583086,4.996734,0.014739,True,2RXS J212043.2-543801,Freund,0.0
SPT-SV J215425.3-495647,59017.39,9466.776747,328.605724,-49.946619,544.237466,7.890747,559.397481,8.145824,653.267618,29.940672,0.060151,0.044989,0.405038,0.125563,6559052816392332288,0.020965,328.601605,-49.944783,10.366532,11.045015,9.565741,5.11379,0.013262,True,2RXS J215424.6-495644,Freund,0.0
SPT-SV J215424.1-495634,59024.26,18499.709612,328.600649,-49.942834,642.94399,7.745658,661.272828,8.547836,621.073464,32.107883,0.06154,0.038685,-0.163756,0.139138,6559052816392332288,0.001087,328.601605,-49.944783,10.366532,11.045015,9.565741,5.11379,0.013262,True,2RXS J215424.6-495644,Freund,0.0
SPT-SV J023423.0-434759,59040.35,157.241906,38.595897,-43.79973,66.934454,7.973541,81.90234,8.409325,37.823981,29.517932,0.441839,0.344311,-2.017232,2.055206,4946938113149426944,0.00016,38.59438,-43.797657,8.196382,9.175138,7.196229,86.612383,0.035498,True,2RXS J023422.8-434741,Freund,0.0
SPT-SV J023652.1-520302,59065.99,891.899261,39.217404,-52.050702,179.993425,7.528811,142.908783,7.908552,115.1717,27.88017,-0.505111,0.151873,-0.563412,0.648368,4745195905754074496,0.00114,39.216167,-52.051002,11.075974,12.322169,9.962072,25.74719,0.019815,False,2RXS J023651.8-520300,Freund,0.0
SPT-SV J232857.8-680230,59067.63,69.82968,352.241137,-68.041907,33.132387,6.050987,44.396645,6.479653,32.330075,23.268482,0.640717,0.511834,-0.828126,1.917442,6388014157668558080,0.00115,352.24103,-68.043088,11.975413,13.298294,10.835975,21.814973,0.016096,True,2RXS J232857.7-680225,Freund,0.0
SPT-SV J220610.2-460354,59068.28,65.720511,331.542835,-46.065046,47.818806,8.045753,50.842904,8.377214,35.099683,31.004937,0.134254,0.515578,-0.967509,2.346196,6567445491726233216,0.001032,331.540648,-46.06398,11.1806,11.394999,10.820612,2.686802,0.032307,False,,,
SPT-SV J212045.0-543746,59096.39,433.870284,320.187887,-54.629642,118.97641,7.658534,105.411859,7.53311,44.872384,27.810275,-0.26502,0.210571,-2.229947,1.628937,6463546350186454144,0.051335,320.183645,-54.633106,10.334653,10.930648,9.583086,4.996734,0.014739,True,2RXS J212043.2-543801,Freund,0.0
SPT-SV J023422.3-434752,59109.2,1420.922774,38.593052,-43.798006,160.974208,8.381,294.834554,9.051603,436.427618,33.967356,1.324924,0.132328,1.024063,0.218455,4946938113149426944,8.7e-05,38.59438,-43.797657,8.196382,9.175138,7.196229,86.612383,0.035498,True,2RXS J023422.8-434741,Freund,0.0
SPT-SV J025532.4-570257,59110.27,1233.665708,43.88514,-57.049441,162.083004,7.14812,206.96306,7.665012,193.137992,26.570921,0.535145,0.126084,-0.180514,0.371999,4727920241619206912,0.02572,43.883166,-57.047891,14.370894,16.325182,13.060138,21.889704,0.021013,False,,,
SPT-SV J011356.5-462620,59118.44,86.821518,18.485747,-46.439031,52.891255,8.155595,37.374691,8.4811,83.598665,30.557385,-0.760236,0.600652,2.101958,1.12335,4933323685296675584,0.000707,18.484131,-46.441664,9.428692,9.549376,9.186179,2.806986,0.017455,True,,,
SPT-SV J204237.5-542520,59120.33,127.716053,310.656433,-54.422473,49.537568,7.59923,62.26817,7.427468,37.308649,27.051474,0.500744,0.425436,-1.33743,1.918625,6470742481994348416,0.015775,310.653148,-54.424412,13.892055,15.693595,12.615715,21.960068,0.023556,False,,,
SPT-SV J014432.2-460435,59131.78,48.975169,26.134435,-46.076393,45.598152,8.29485,36.632626,8.695313,44.396346,30.140886,-0.479308,0.654735,0.501885,1.877854,4954453580066220800,0.020155,26.133623,-46.075694,15.635771,18.198709,14.208293,25.949235,0.045132,False,,,
SPT-SV J010336.2-551614,59149.76,505.202205,15.901059,-55.27078,128.036357,7.325824,93.692259,7.768595,119.335037,28.52978,-0.683728,0.220557,0.631656,0.660701,4914632365579875200,0.0255,15.899299,-55.26584,13.946985,15.689866,12.248119,21.18,,False,,,
SPT-SV J002733.2-615712,59150.31,405.658908,6.888342,-61.953543,105.396464,6.756002,85.579054,7.16788,34.699169,24.350389,-0.456015,0.230913,-2.357032,1.845306,4901934140151066624,0.007547,6.88961,-61.954949,13.407952,15.148854,12.148282,23.050534,0.016777,False,,,
SPT-SV J023422.2-434748,59158.65,2913.27758,38.592599,-43.796679,271.103838,8.238175,379.282721,8.840722,495.499599,35.105337,0.735137,0.083847,0.697885,0.194741,4946938113149426944,0.000157,38.59438,-43.797657,8.196382,9.175138,7.196229,86.612383,0.035498,True,2RXS J023422.8-434741,Freund,0.0
SPT-SV J002127.9-635110,59167.07,1248.787332,5.366405,-63.85286,142.60104,7.031675,227.370314,7.812429,272.139028,27.075997,1.021392,0.131581,0.469286,0.274834,4900780511935295872,0.009265,5.3664,-63.852519,14.73304,17.099085,13.331531,23.179935,0.077073,False,,,
SPT-SV J212756.4-670242,59175.55,76.315763,321.985358,-67.045203,45.798034,6.366299,34.200456,8.021832,53.074976,23.246924,-0.639292,0.596926,1.147456,1.297287,6400464275724294784,0.001402,321.98527,-67.044189,12.27307,13.031966,11.413509,9.705957,0.011653,False,,,
